"File Path","Line","Context","Chinese Text","Suggested Key","i18n Key","Replacement"
"src/pages/setting/devise/diyIndex.vue","310","text","右侧组件配置","右侧组件配置","message.text.右侧组件配置","$t('message.text.右侧组件配置')"
"src/pages/setting/devise/diyIndex.vue","312","text","组件传递的数据","组件传递的数据","message.text.组件传递的数据","$t('message.text.组件传递的数据')"
"src/pages/setting/devise/diyIndex.vue","313","text","选中的下标","选中的下标","message.text.选中的下标","$t('message.text.选中的下标')"
"src/pages/setting/devise/diyIndex.vue","321","text","组件库","组件库","message.text.组件库","$t('message.text.组件库')"
"src/pages/setting/devise/diyIndex.vue","325","text","页面链接","页面链接","message.text.页面链接","$t('message.text.页面链接')"
"src/pages/setting/devise/diyIndex.vue","351","text","购物车","购物车","message.text.购物车","$t('message.text.购物车')"
"src/pages/setting/devise/diyIndex.vue","355","text","是否自定义","是否自定义","message.text.是否自定义","$t('message.text.是否自定义')"
"src/pages/setting/devise/diyIndex.vue","362","text","获取浏览器可视区域高度","获取浏览器可视区域高度","message.text.获取浏览器可视区域高度","$t('message.text.获取浏览器可视区域高度')"
"src/pages/setting/devise/diyIndex.vue","407","text","需要转换为二维码的内容","需要转换为二维码的内容","message.text.需要转换为二维码的内容","$t('message.text.需要转换为二维码的内容')"
"src/pages/setting/devise/diyIndex.vue","423","text","请输入模板名称","请输入模板名称","message.text.请输入模板名称","$t('message.text.请输入模板名称')"
"src/pages/setting/devise/diyIndex.vue","426","text","修改成功","修改成功","message.text.修改成功","$t('message.text.修改成功')"
"src/pages/setting/devise/diyIndex.vue","441","text","温馨提示","温馨提示","message.text.温馨提示","$t('message.text.温馨提示')"
"src/pages/setting/devise/diyIndex.vue","442","text","确定离开此页面","确定离开此页面","message.text.确定离开此页面","$t('message.text.确定离开此页面')"
"src/pages/setting/devise/diyIndex.vue","442","text","系统可能不会保存您所做的更改","系统可能不会保存您所做的更改","message.text.系统可能不会保存您所做的更改","$t('message.text.系统可能不会保存您所做的更改')"
"src/pages/setting/devise/diyIndex.vue","444","text","取消","取消","message.text.取消","$t('message.text.取消')"
"src/pages/setting/devise/diyIndex.vue","445","text","确定","确定","message.text.确定","$t('message.text.确定')"
"src/pages/setting/devise/diyIndex.vue","474","text","复制成功","复制成功","message.text.复制成功","$t('message.text.复制成功')"
"src/pages/setting/devise/diyIndex.vue","477","text","复制失败","复制失败","message.text.复制失败","$t('message.text.复制失败')"
"src/pages/setting/devise/diyIndex.vue","509","text","页面设置","页面设置","message.text.页面设置","$t('message.text.页面设置')"
"src/pages/setting/devise/diyIndex.vue","525","text","底部菜单","底部菜单","message.text.底部菜单","$t('message.text.底部菜单')"
"src/pages/setting/devise/diyIndex.vue","542","text","该组件禁止拖拽","该组件禁止拖拽","message.text.该组件禁止拖拽","$t('message.text.该组件禁止拖拽')"
"src/pages/setting/devise/diyIndex.vue","607","text","该组件禁止移动","该组件禁止移动","message.text.该组件禁止移动","$t('message.text.该组件禁止移动')"
"src/pages/setting/devise/diyIndex.vue","615","text","搜索框或选项卡或轮播搜索必须为顶部","搜索框或选项卡或轮播搜索必须为顶部","message.text.搜索框或选项卡或轮播搜索必须为顶部","$t('message.text.搜索框或选项卡或轮播搜索必须为顶部')"
"src/pages/setting/devise/diyIndex.vue","648","text","该组件只能添加一次","该组件只能添加一次","message.text.该组件只能添加一次","$t('message.text.该组件只能添加一次')"
"src/pages/setting/devise/diyIndex.vue","649","text","轮播搜索不能和搜索组件与选项卡组件同时存在","轮播搜索不能和搜索组件与选项卡组件同时存在","message.text.轮播搜索不能和搜索组件与选项卡组件同时存在","$t('message.text.轮播搜索不能和搜索组件与选项卡组件同时存在')"
"src/pages/setting/devise/diyIndex.vue","653","text","该组件只能添加一次","该组件只能添加一次","message.text.该组件只能添加一次","$t('message.text.该组件只能添加一次')"
